Sexo	Grupos y subgrupos principales de la CNO-11	Media y percentiles	Periodo	Total
Ambos sexos	50 Camareros y cocineros propietarios	Percentil 25	2018	..
Ambos sexos	50 Camareros y cocineros propietarios	Percentil 50	2018	..
Ambos sexos	50 Camareros y cocineros propietarios	Percentil 75	2018	..
Ambos sexos	50 Camareros y cocineros propietarios	Percentil 90	2018	..
Ambos sexos	51 Trabajadores asalariados de los servicios de restauración	Media	2018	13.907,89
Ambos sexos	51 Trabajadores asalariados de los servicios de restauración	Percentil 10	2018	4.180,36
Ambos sexos	51 Trabajadores asalariados de los servicios de restauración	Percentil 25	2018	8.756,79
Ambos sexos	51 Trabajadores asalariados de los servicios de restauración	Percentil 50	2018	14.616,85
Ambos sexos	51 Trabajadores asalariados de los servicios de restauración	Percentil 75	2018	18.101,13
Ambos sexos	51 Trabajadores asalariados de los servicios de restauración	Percentil 90	2018	21.904,74
Ambos sexos	52 Dependientes en tiendas y almacenes	Media	2018	16.668,61
Ambos sexos	52 Dependientes en tiendas y almacenes	Percentil 10	2018	7.844,77
Ambos sexos	52 Dependientes en tiendas y almacenes	Percentil 25	2018	11.590,14
Ambos sexos	52 Dependientes en tiendas y almacenes	Percentil 50	2018	15.018,83
Ambos sexos	52 Dependientes en tiendas y almacenes	Percentil 75	2018	18.945,91
Ambos sexos	52 Dependientes en tiendas y almacenes	Percentil 90	2018	25.429,25
Ambos sexos	53 Comerciantes propietarios de tiendas	Media	2018	..
Ambos sexos	53 Comerciantes propietarios de tiendas	Percentil 10	2018	..
Ambos sexos	53 Comerciantes propietarios de tiendas	Percentil 25	2018	..
Ambos sexos	53 Comerciantes propietarios de tiendas	Percentil 50	2018	..
Ambos sexos	53 Comerciantes propietarios de tiendas	Percentil 75	2018	..
Ambos sexos	53 Comerciantes propietarios de tiendas	Percentil 90	2018	..
Ambos sexos	54 Vendedores (excepto en tiendas y almacenes)	Media	2018	16.391,48
Ambos sexos	54 Vendedores (excepto en tiendas y almacenes)	Percentil 10	2018	8.321,21
Ambos sexos	54 Vendedores (excepto en tiendas y almacenes)	Percentil 25	2018	12.255,76
Ambos sexos	54 Vendedores (excepto en tiendas y almacenes)	Percentil 50	2018	15.440,32
Ambos sexos	54 Vendedores (excepto en tiendas y almacenes)	Percentil 75	2018	19.527,96
Ambos sexos	54 Vendedores (excepto en tiendas y almacenes)	Percentil 90	2018	25.382,75
